Id	latitude	longitude	altitude (m)	distance (km)
508	25.49242223	51.44770527	10.8	0.508
509	25.49243036	51.44770095	10.8	0.509
510	25.49243849	51.44769662	10.8	0.510
511	25.49244663	51.44769233	10.9	0.511
512	25.49245479	51.44768807	10.9	0.512
513	25.49246295	51.44768382	10.9	0.513
514	25.49247111	51.44767957	10.9	0.514
515	25.4924793	51.44767539	10.9	0.515
516	25.49248751	51.44767125	11.0	0.516
517	25.49249571	51.4476671	11.0	0.517
518	25.49250392	51.44766296	11.0	0.518
519	25.49251217	51.44765891	11.0	0.519
520	25.49252041	51.44765486	11.0	0.520
521	25.49252866	51.44765081	11.0	0.521
522	25.49253692	51.44764682	10.9	0.522
523	25.49254524	51.44764296	10.9	0.523
524	25.49255356	51.44763909	10.9	0.524
525	25.49256188	51.44763523	10.9	0.525
526	25.49257023	51.44763147	10.9	0.526
527	25.49257862	51.44762778	10.8	0.527
528	25.492587	51.44762409	10.8	0.528
529	25.49259538	51.4476204	10.8	0.529
530	25.49260381	51.44761683	10.8	0.530
531	25.49261223	51.44761326	10.8	0.531
532	25.49262066	51.4476097	10.7	0.532
533	25.49262911	51.44760619	10.7	0.533
534	25.49263759	51.4476028	10.7	0.534
535	25.49264608	51.4475994	10.7	0.535
536	25.49265456	51.44759601	10.6	0.536
537	25.4926631	51.44759278	10.6	0.537
538	25.49267166	51.44758961	10.6	0.538
539	25.49268021	51.44758644	10.6	0.539
540	25.49268878	51.4475833	10.5	0.540
541	25.4926974	51.44758036	10.5	0.541
542	25.49270602	51.44757741	10.5	0.542
543	25.49271464	51.44757447	10.4	0.543
544	25.49272332	51.44757172	10.4	0.544
545	25.49273202	51.44756909	10.4	0.545
546	25.49274073	51.44756647	10.3	0.546
547	25.49274945	51.44756388	10.3	0.547
548	25.49275823	51.44756159	10.3	0.548
549	25.49276701	51.4475593	10.2	0.549
550	25.4927758	51.44755701	10.2	0.550
551	25.49278463	51.44755496	10.2	0.551
552	25.49279349	51.44755306	10.2	0.552
553	25.49280235	51.44755116	10.1	0.553
554	25.49281122	51.44754933	10.1	0.554
555	25.49282014	51.44754781	10.1	0.555
556	25.49282907	51.4475463	10.0	0.556
557	25.49283799	51.44754478	10.0	0.557
558	25.49284695	51.44754364	10.0	0.558
559	25.49285593	51.4475426	10.0	0.559
560	25.49286491	51.44754157	9.9	0.560
561	25.4928739	51.44754072	9.9	0.561
562	25.49288291	51.44754015	9.9	0.562
